time,formattedTime,formattedAxisTime,.default.timelineData[].value[],.default.timelineData[].hasData[],.default.timelineData[].formattedValue[],text,.default.averages[]
1204329600,Mar 2008,Mar 1	 2008,0,false,0,,
1207008000,Apr 2008,Apr 1	 2008,0,false,0,,
1209600000,May 2008,May 1	 2008,0,false,0,,
1212278400,Jun 2008,Jun 1	 2008,0,false,0,,
1214870400,Jul 2008,Jul 1	 2008,2,true,2,,
1217548800,Aug 2008,Aug 1	 2008,0,false,0,,
1220227200,Sep 2008,Sep 1	 2008,2,true,2,,
1222819200,Oct 2008,Oct 1	 2008,3,true,3,,
1225497600,Nov 2008,Nov 1	 2008,2,true,2,,
1228089600,Dec 2008,Dec 1	 2008,2,true,2,,
1230768000,Jan 2009,Jan 1	 2009,0,false,0,,
1233446400,Feb 2009,Feb 1	 2009,2,true,2,,
1235865600,Mar 2009,Mar 1	 2009,0,false,0,,
1238544000,Apr 2009,Apr 1	 2009,0,false,0,,
1241136000,May 2009,May 1	 2009,2,true,2,,
1243814400,Jun 2009,Jun 1	 2009,2,true,2,,
1246406400,Jul 2009,Jul 1	 2009,2,true,2,,
1249084800,Aug 2009,Aug 1	 2009,0,false,0,,
1251763200,Sep 2009,Sep 1	 2009,0,false,0,,
1254355200,Oct 2009,Oct 1	 2009,0,false,0,,
1257033600,Nov 2009,Nov 1	 2009,0,false,0,,
1259625600,Dec 2009,Dec 1	 2009,2,true,2,,
1262304000,Jan 2010,Jan 1	 2010,1,true,1,,
1264982400,Feb 2010,Feb 1	 2010,3,true,3,,
1267401600,Mar 2010,Mar 1	 2010,1,true,1,,
1270080000,Apr 2010,Apr 1	 2010,1,true,1,,
1272672000,May 2010,May 1	 2010,1,true,1,,
1275350400,Jun 2010,Jun 1	 2010,3,true,3,,
1277942400,Jul 2010,Jul 1	 2010,0,false,0,,
1280620800,Aug 2010,Aug 1	 2010,4,true,4,,
1283299200,Sep 2010,Sep 1	 2010,0,false,0,,
1285891200,Oct 2010,Oct 1	 2010,1,true,1,,
1288569600,Nov 2010,Nov 1	 2010,1,true,1,,
1291161600,Dec 2010,Dec 1	 2010,1,true,1,,
1293840000,Jan 2011,Jan 1	 2011,0,false,0,An improvement to our geographical assignment was applied from 1/1/2011.,
1296518400,Feb 2011,Feb 1	 2011,1,true,1,,
1298937600,Mar 2011,Mar 1	 2011,0,false,0,,
1301616000,Apr 2011,Apr 1	 2011,0,false,0,,
1304208000,May 2011,May 1	 2011,0,false,0,,
1306886400,Jun 2011,Jun 1	 2011,1,true,1,,
1309478400,Jul 2011,Jul 1	 2011,0,false,0,,
1312156800,Aug 2011,Aug 1	 2011,1,true,1,,
1314835200,Sep 2011,Sep 1	 2011,1,true,1,,
1317427200,Oct 2011,Oct 1	 2011,0,false,0,,
1320105600,Nov 2011,Nov 1	 2011,1,true,1,,
1322697600,Dec 2011,Dec 1	 2011,0,false,0,,
1325376000,Jan 2012,Jan 1	 2012,4,true,4,,
1328054400,Feb 2012,Feb 1	 2012,0,false,0,,
1330560000,Mar 2012,Mar 1	 2012,1,true,1,,
1333238400,Apr 2012,Apr 1	 2012,1,true,1,,
1335830400,May 2012,May 1	 2012,1,true,1,,
1338508800,Jun 2012,Jun 1	 2012,0,false,0,,
1341100800,Jul 2012,Jul 1	 2012,1,true,1,,
1343779200,Aug 2012,Aug 1	 2012,0,false,0,,
1346457600,Sep 2012,Sep 1	 2012,1,true,1,,
1349049600,Oct 2012,Oct 1	 2012,3,true,3,,
1351728000,Nov 2012,Nov 1	 2012,1,true,1,,
1354320000,Dec 2012,Dec 1	 2012,1,true,1,,
1356998400,Jan 2013,Jan 1	 2013,1,true,1,,
1359676800,Feb 2013,Feb 1	 2013,1,true,1,,
1362096000,Mar 2013,Mar 1	 2013,0,false,0,,
1364774400,Apr 2013,Apr 1	 2013,2,true,2,,
1367366400,May 2013,May 1	 2013,1,true,1,,
1370044800,Jun 2013,Jun 1	 2013,1,true,1,,
1372636800,Jul 2013,Jul 1	 2013,2,true,2,,
1375315200,Aug 2013,Aug 1	 2013,1,true,1,,
1377993600,Sep 2013,Sep 1	 2013,1,true,1,,
1380585600,Oct 2013,Oct 1	 2013,0,false,0,,
1383264000,Nov 2013,Nov 1	 2013,1,true,1,,
1385856000,Dec 2013,Dec 1	 2013,2,true,2,,
1388534400,Jan 2014,Jan 1	 2014,1,true,1,,
1391212800,Feb 2014,Feb 1	 2014,0,false,0,,
1393632000,Mar 2014,Mar 1	 2014,1,true,1,,
1396310400,Apr 2014,Apr 1	 2014,1,true,1,,
1398902400,May 2014,May 1	 2014,1,true,1,,
1401580800,Jun 2014,Jun 1	 2014,1,true,1,,
1404172800,Jul 2014,Jul 1	 2014,3,true,3,,
1406851200,Aug 2014,Aug 1	 2014,0,false,0,,
1409529600,Sep 2014,Sep 1	 2014,3,true,3,,
1412121600,Oct 2014,Oct 1	 2014,1,true,1,,
1414800000,Nov 2014,Nov 1	 2014,2,true,2,,
1417392000,Dec 2014,Dec 1	 2014,0,false,0,,
1420070400,Jan 2015,Jan 1	 2015,3,true,3,,
1422748800,Feb 2015,Feb 1	 2015,2,true,2,,
1425168000,Mar 2015,Mar 1	 2015,1,true,1,,
1427846400,Apr 2015,Apr 1	 2015,2,true,2,,
1430438400,May 2015,May 1	 2015,1,true,1,,
1433116800,Jun 2015,Jun 1	 2015,1,true,1,,
1435708800,Jul 2015,Jul 1	 2015,3,true,3,,
1438387200,Aug 2015,Aug 1	 2015,2,true,2,,
1441065600,Sep 2015,Sep 1	 2015,1,true,1,,
1443657600,Oct 2015,Oct 1	 2015,2,true,2,,
1446336000,Nov 2015,Nov 1	 2015,2,true,2,,
1448928000,Dec 2015,Dec 1	 2015,4,true,4,,
1451606400,Jan 2016,Jan 1	 2016,3,true,3,An improvement to our data collection system was applied from 1/1/16.,
1454284800,Feb 2016,Feb 1	 2016,2,true,2,,
1456790400,Mar 2016,Mar 1	 2016,39,true,39,,
1459468800,Apr 2016,Apr 1	 2016,5,true,5,,
1462060800,May 2016,May 1	 2016,5,true,5,,
1464739200,Jun 2016,Jun 1	 2016,6,true,6,,
1467331200,Jul 2016,Jul 1	 2016,2,true,2,,
1470009600,Aug 2016,Aug 1	 2016,1,true,1,,
1472688000,Sep 2016,Sep 1	 2016,4,true,4,,
1475280000,Oct 2016,Oct 1	 2016,4,true,4,,
1477958400,Nov 2016,Nov 1	 2016,3,true,3,,
1480550400,Dec 2016,Dec 1	 2016,3,true,3,,
1483228800,Jan 2017,Jan 1	 2017,8,true,8,,
1485907200,Feb 2017,Feb 1	 2017,3,true,3,,
1488326400,Mar 2017,Mar 1	 2017,2,true,2,,
1491004800,Apr 2017,Apr 1	 2017,6,true,6,,
1493596800,May 2017,May 1	 2017,100,true,100,,
1496275200,Jun 2017,Jun 1	 2017,8,true,8,,
1498867200,Jul 2017,Jul 1	 2017,5,true,5,,
1501545600,Aug 2017,Aug 1	 2017,4,true,4,,
1504224000,Sep 2017,Sep 1	 2017,2,true,2,,
1506816000,Oct 2017,Oct 1	 2017,5,true,5,,
1509494400,Nov 2017,Nov 1	 2017,4,true,4,,
1512086400,Dec 2017,Dec 1	 2017,4,true,4,,
1514764800,Jan 2018,Jan 1	 2018,5,true,5,,
1517443200,Feb 2018,Feb 1	 2018,3,true,3,,
1519862400,Mar 2018,Mar 1	 2018,2,true,2,,
1522540800,Apr 2018,Apr 1	 2018,3,true,3,,
1525132800,May 2018,May 1	 2018,4,true,4,,
1527811200,Jun 2018,Jun 1	 2018,3,true,3,,
1530403200,Jul 2018,Jul 1	 2018,3,true,3,,
1533081600,Aug 2018,Aug 1	 2018,1,true,1,,
1535760000,Sep 2018,Sep 1	 2018,5,true,5,,
1538352000,Oct 2018,Oct 1	 2018,2,true,2,,
1541030400,Nov 2018,Nov 1	 2018,3,true,3,,
1543622400,Dec 2018,Dec 1	 2018,1,true,1,,
1546300800,Jan 2019,Jan 1	 2019,3,true,3,,
1548979200,Feb 2019,Feb 1	 2019,2,true,2,,
1551398400,Mar 2019,Mar 1	 2019,3,true,3,,
1554076800,Apr 2019,Apr 1	 2019,3,true,3,,
1556668800,May 2019,May 1	 2019,4,true,4,,
1559347200,Jun 2019,Jun 1	 2019,1,true,1,,
1561939200,Jul 2019,Jul 1	 2019,2,true,2,,
1564617600,Aug 2019,Aug 1	 2019,2,true,2,,
1567296000,Sep 2019,Sep 1	 2019,0,true,<1,,
1569888000,Oct 2019,Oct 1	 2019,3,true,3,,
